date,label,nb_visits,entry_nb_visits,exit_nb_visits
NA,api/1/discussions/?for=58c98b1888ee38770950152b,337,2,8
NA,fr/organizations/agence-de-services-et-de-paiement-asp/index,335,300,270
NA,fr/topics/agriculture-et-alimentation/datasets,335,7,34
NA,api/1/spatial/zones/fr/region/93,334,0,1
NA,fr/datasets/cartographie-des-bases-de-donnees-publiques-en-sante/index,334,180,139
NA,fr/organizations/mission-tres-haut-debit/index,331,274,186
NA,api/1/discussions/?for=53699035a3a729239d203942,329,0,0
NA,api/1/discussions/?for=53698f50a3a729239d2036f5,324,0,2
NA,"api/1/spatial/zones/country-subset/fr/metro,fr/region/72,fr/region/54,fr/region/74",324,0,1
NA,fr/datasets/cartes-des-regions-et-departements-issus-d-openstreetmap/index,324,165,129
NA,fr/datasets/centres-dexamen-des-permis-de-conduire/index,323,315,266
NA,fr/organizations/haute-autorite-de-sante-has/index,323,314,238
NA,fr/organizations/ministere-du-travail-de-l-emploi-et-du-dialogue-social/index,321,241,189
NA,fr/datasets/cadastre-mtn/index,319,277,206
NA,api/1/organizations/534fff81a3a7292c64a77e5c/ - Autres,318,0,0
NA,api/1/spatial/zones/fr/county/71,317,0,0
NA,fr/datasets/communes-nouvelles-au-1er-janvier-2016/index,316,220,176
NA,api/1/spatial/zones/fr/county/68,314,0,0
NA,api/1/discussions/?for=5726ef67c751df48e1fcca0d,311,0,1
NA,api/1/discussions/?for=53699691a3a729239d204a87,309,0,1
NA,api/1/me/datasets/ - Autres,308,0,1
NA,api/1/discussions/?for=53698ecca3a729239d203579,307,0,0
NA,fr/faq/system-integrator/index,301,27,77
NA,fr/datasets/taux-de-logements-sociaux/index,299,290,224
NA,fr/organizations/agence-nationale-des-frequences/index,296,256,187
NA,api/1/organizations/premier-ministre/index,293,0,4
NA,fr/reuses/auto-ecole-codeclic-com-les-taux-de-reussite-de-10-000-auto-ecoles-en-france/index,293,276,158
NA,api/1/discussions/?for=53699037a3a729239d203949,290,0,3
NA,fr/organizations/education-nationale/index,290,246,162
NA,fr/datasets/prix-et-indices-de-prix/index,289,54,84
NA,api/1/spatial/zones/fr/epci/244900015,287,0,0
NA,api/1/spatial/zones/fr/town/44109,286,0,0
NA,fr/search/?tag=bilan-pedagogigue,285,18,47
NA,fr/datasets/aires-geographiques-des-aoc-aop/index,282,244,143
NA,fr/datasets/bd-carthage-onm/index,282,219,149
NA,api/1/spatial/zones/fr/district/923,280,0,0
NA,api/1/discussions/?for=536998cba3a729239d20505e,279,0,1
NA,fr/reuses/carte-des-perimetres-de-protection-de-monument-historique/index,276,257,160
NA,api/1/discussions/?for=53ae9791a3a729709f56d522,272,0,0
NA,api/1/discussions/?for=53698f78a3a729239d203761,271,2,0
NA,api/1/discussions/?for=58c9365588ee38636a1fbd0a,270,5,4
NA,fr/reuses/espace-droits-et-demarches-de-justice-gouv-fr/index,270,267,189
NA,api/1/discussions/?for=58be2b39c751df54105b555d,268,1,3
NA,api/1/discussions/?for=53698feea3a729239d20388f,268,0,0
NA,fr/organizations/etalab/index,268,178,107
NA,api/1/discussions/?for=57868ec1a3a7295d371add0c,263,0,1
NA,api/1/discussions/?for=568558dec751df503ac664bc,263,0,0
NA,login/?next=https:/www.data.gouv.fr/fr/datasets/liste-publique-des-organismes-de-formation-l-6351-7-1-du-code-du-travail/index,261,20,28
NA,api/1/datasets/58c98b1888ee38770950152b/ - Autres,260,0,0
NA,fr/topics/territoires-et-transports/ - Autres,260,27,24
NA,fr/topics/territoires-et-transports/datasets?page=2,257,1,25
NA,"api/1/spatial/zones/fr/town/13055,fr/town/69123,fr/town/75056",255,0,1
NA,login/?next=https:/www.data.gouv.fr/fr/index,254,55,60
NA,api/1/spatial/zones/fr/district/863,253,0,1
NA,fr/datasets/?page=5,253,2,16
NA,api/1/discussions/?for=536998e3a3a729239d2050ac,252,0,2
NA,fr/topics/sante-et-social/datasets?page=2,252,3,29
NA,fr/datasets/liste-et-localisation-des-sgami/index,251,239,173
NA,api/1/datasets/5862206588ee38254d3f4e5e/ - Autres,250,0,0
NA,"api/1/spatial/zones/country/fr,fr/region/04,fr/region/02,fr/region/01,fr/region/03,fr/county/975,fr/county/977,fr/county/978,fr/county/984,fr/county/988",248,0,0
NA,fr/datasets/impot-de-solidarite-sur-la-fortune/index,248,70,67
NA,api/1/discussions/?for=5369965ea3a729239d204992,247,0,0
NA,fr/organizations/ministere-de-la-culture-et-de-la-communication/index,247,213,165
NA,api/1/discussions/?for=53699dc9a3a729239d205d08,240,0,3
NA,fr/datasets/codes-postaux-de-toulouse-tm/index,239,224,196
NA,fr/reuses/anecdotes-autours-des-prenoms/index,238,15,36
NA,fr/reuses/api-de-diffusion-de-la-base-sirene-de-linsee/index,232,142,61
NA,api/1/discussions/?for=54101458a3a72937cb2c703c,230,1,0
