date,nb_uniq_visitors,nb_users,nb_visits,nb_actions,nb_visits_converted,bounce_count,sum_visit_length,max_actions,bounce_rate,nb_actions_per_visit,avg_time_on_site
2015-08-02,18,0,21,112,2,6,5789,28,29,5.3,276
2015-08-03,89,0,109,498,9,40,25720,55,37,4.6,236
2015-08-04,83,0,103,406,5,30,26273,23,29,3.9,255
2015-08-05,76,0,92,349,5,36,22789,18,39,3.8,248
2015-08-06,84,0,106,495,7,35,31980,25,33,4.7,302
2015-08-07,74,0,88,346,6,30,12819,25,34,3.9,146
2015-08-08,18,0,21,94,0,6,2545,15,29,4.5,121
2015-08-09,13,0,14,65,2,3,5320,10,21,4.6,380
2015-08-10,85,0,106,449,20,34,20328,18,32,4.2,192
2015-08-11,93,0,107,431,10,41,22738,25,38,4,213
2015-08-12,81,0,92,489,11,23,30815,54,25,5.3,335
2015-08-13,95,0,116,562,9,39,54998,29,34,4.8,474
2015-08-14,90,0,106,509,13,37,29666,30,35,4.8,280
2015-08-15,11,0,12,65,2,4,1124,16,33,5.4,94
2015-08-16,16,0,19,72,2,4,5155,14,21,3.8,271
2015-08-17,78,0,108,459,9,35,27722,27,32,4.3,257
2015-08-18,102,0,126,638,13,39,35869,32,31,5.1,285
2015-08-19,104,0,124,529,12,43,25666,22,35,4.3,207
2015-08-20,83,0,93,491,16,27,31879,34,29,5.3,343
2015-08-21,98,0,109,466,8,33,25122,19,30,4.3,230
2015-08-22,22,0,27,111,5,11,3830,19,41,4.1,142
2015-08-23,12,0,16,56,2,7,1021,12,44,3.5,64
2015-08-24,89,0,112,514,11,51,42022,54,46,4.6,375
2015-08-25,110,0,132,541,7,45,28130,33,34,4.1,213
2015-08-26,103,0,132,593,17,28,32785,25,21,4.5,248
2015-08-27,148,0,176,819,18,60,59966,49,34,4.7,341
2015-08-28,101,0,118,556,15,35,35761,23,30,4.7,303
2015-08-29,24,0,25,90,3,11,2025,16,44,3.6,81
2015-08-30,19,0,21,95,5,6,4850,18,29,4.5,231
2015-08-31,105,0,123,553,7,37,31839,30,30,4.5,259
2015-09-01,116,0,139,584,15,50,33592,25,36,4.2,242
2015-09-02,116,0,135,579,9,47,36679,24,35,4.3,272
2015-09-03,133,0,152,808,14,45,38798,70,30,5.3,255
2015-09-04,111,0,133,662,9,40,49420,64,30,5,372
2015-09-05,29,0,29,117,2,11,8290,16,38,4,286
2015-09-06,18,0,19,76,3,10,886,19,53,4,47
2015-09-07,142,0,177,694,12,78,41542,42,44,3.9,235
2015-09-08,120,0,151,832,15,41,52626,46,27,5.5,349
2015-09-09,183,0,222,1068,21,80,46601,50,36,4.8,210
2015-09-10,168,0,208,1050,13,73,84374,36,35,5,406
2015-09-11,142,0,167,552,6,67,24112,17,40,3.3,144
2015-09-12,22,0,23,86,4,11,2621,22,48,3.7,114
2015-09-13,22,0,25,67,0,12,2135,12,48,2.7,85
2015-09-14,160,0,195,853,12,57,47738,23,29,4.4,245
2015-09-15,146,0,182,836,10,67,51502,69,37,4.6,283
2015-09-16,148,0,181,745,9,62,49070,49,34,4.1,271
2015-09-17,143,0,175,815,14,61,57840,24,35,4.7,331
